Serial Number,Number Series,Pre,Post,Device Type ,Device Model,Product Number,Product description,Start Date,Lease Maturity Date,Location
GFUS000044NL,000044,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000001MK,000001,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Burlington
GFUS000002MK,000002,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Burlington
GFUS000003MK,000003,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Hopewell Junction
GFUS000004MK,000004,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Hopewell Junction
GFUS000005MK,000005,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Hopewell Junction
GFUS000006MK,000006,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000007MK,000007,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000008MK,000008,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000009MK,000009,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000010MK,000010,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000011MK,000011,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000012MK,000012,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000013MK,000013,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000014MK,000014,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000015MK,000015,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000016MK,000016,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000017MK,000017,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000018MK,000018,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000019MK,000019,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000020MK,000020,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000021MK,000021,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000022MK,000022,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000023MK,000023,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000024MK,000024,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000025MK,000025,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000026MK,000026,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000027MK,000027,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000028MK,000028,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000029MK,000029,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000030MK,000030,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000031MK,000031,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000032MK,000032,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000033MK,000033,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000034MK,000034,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000035MK,000035,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000036MK,000036,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000037MK,000037,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000038MK,000038,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000039MK,000039,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000040MK,000040,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000041MK,000041,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000042MK,000042,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
GFUS000043MK,000043,GFUS,MK,Peripherals,Keyboard & Mouse Combo,9SR36AA,HP Wired 320 MK Combo,7/1/2021,6/30/2024,Malta
5CG1119DNR,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Hopewell Junction
5CG1119D2F,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119FBC,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119DRX,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1093WND,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119F4W,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Santa Clara
5CG1119DDP,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119FDN,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Hopewell Junction
5CG1093WBF,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1111HPZ,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Burlington
5CG1119F03,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119DFN,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119DNW,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Hopewell Junction
5CG1119F4Y,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Hopewell Junction
5CG1119DRT,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1108J6D,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119F5F,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119DS5,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Burlington
5CG1119DRS,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Santa Clara
5CG1119FDT,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
5CG1119DZZ,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,8/1/2021,7/31/2024,Malta
